"Reference","Value","Datasheet","Footprint","Qty","Manufacturer","Manufacturer Part #","Supplier","Supplier Part #","Unit Cost","Cost @ Qty","Manufacturer 2","Manufacturer Part # 2","Supplier 2","Supplier Part # 2","Unit Cost 2","Cost @ Qty 2"
"U1","RFM95","https://learn.adafruit.com/adafruit-rfm69hcw-and-rfm96-rfm95-rfm98-lora-packet-padio-breakouts/overview","hb_footprint_lib:rfm95_connector","1","Sullins Connector Solutions","PPPC091LFBN-RC","Digikey","PPPC091LFBN-RC","0.63","0.63","Sullins Connector Solutions","PPPC051LFBN-RC","Digikey","PPPC051LFBN-RC","0.43","0.43"
"U9,U10,U11","HX711","https://learn.adafruit.com/adafruit-hx711-24-bit-adc","hb_footprint_lib:hx711_connector","3","Sullins Connector Solutions","PPPC061LFBN-RC","Digikey","PPPC061LFBN-RC","0.47","0.47","","","","","",""
"U4,U5,U6,U7,U8","MCP9600_Module","https://learn.adafruit.com/adafruit-mcp9600-i2c-thermocouple-amplifier/overview","hb_footprint_lib:mcp9600_connector","5","Sullins Connector Solutions","PPPC091LFBN-RC","Digikey","PPPC091LFBN-RC","0.63","0.63","","","","","",""
"SW1","SW_SPST","Datasheet","hb_footprint_lib:SW_1201M2S3AQE2","1","C&K","1201M2S3AQE2","Digikey","CKN5054-ND","14.68000","14.68000","","","","","",""
"R2,R3,R6,R8,R10,R12,R14,R15,R17","2.7K","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","9","Panasonic Electronic Components","ERJ-6GEYJ272V","Digikey","P2.7KACT-ND","0.10","0.042","","","","","",""
"R1,R4,R5,R7,R9,R11,R13,R16,R18","1K","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","9","Panasonic Electronic Components","ERA-6AEB102V","Digikey","P1.0KDACT-ND","0.10","0.066","","","","","",""
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10","CWDM3011N TR13 PBFREE","https://my.centralsemi.com/datasheets/CWDM3011N.PDF","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","10","Central Semiconductor Corp","CWDM3011N TR13 PBFREE","Digikey","1514-CWDM3011NTR13PBFREECT-ND","1.09","1.09","","","","","",""
"J64,J65,J66,J67,J68,J69,J70,J71,J72,J73,J74,J75,J76,J77,J78,J79,J80,J81,J82,J83","1722563102","https://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987651-1008.PDF","","20","Molex","1722563102 ","Digikey","WM26332-ND","0.30","0.25","","","","","",""
"J34,J35,J36,J37,J38,J39,J40,J41,J42,J43,J44,J45,J46,J47,J48,J49,J50,J51,J52,J53","0430250400","https://tools.molex.com/pdm_docs/ps/PS-43045.pdf","","20","Molex","0430250400","Digikey","WM1784-ND","0.39","0.334","","","","","",""
"J23","12V Male","https://www.tme.com/Document/580f3494beb0741fbf705c7febbc9402/XT60H-F.pdf","","1"," Changzhou Amass Elec","XT60-F","LCSC","C98734","0.3547","0.3547","","","","","",""
"J22","5V Male","https://www.mouser.com/datasheet/2/564/JST_B4B_PH_SM4_TB_LF_SN_ePH-3481264.pdf","","1","JST Commercial","PHR-2","Mouser","306-PHR-2PP","0.10 ","0.10 ","","","","","",""
"J21","5V Female","https://www.mouser.com/datasheet/2/564/JST_B4B_PH_SM4_TB_LF_SN_ePH-3481264.pdf","hb_footprint_lib:JST_S2B-PH-SM4-TB","1","JST Commercial","S2B-PH-SM4-TB(LF)(SN)","Mouser","306-S2BPHSM4TBLFSN","0.51","0.51","","","","","",""
"J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J54,J55,J56,J57,J58,J59,J60,J61,J62,J63","1723103102","https://www.molex.com/en-us/products/part-detail/1723103102?display=pdf","hb_footprint_lib:CONN02_1723103102_MOL","20","Molex","1723103102","Digikey","900-1723103102-ND","0.85","0.725","","","","","",""
"J2,J3,J4,J5,J6,J7,J8,J9,J10,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33","0430450400","https://tools.molex.com/pdm_docs/ps/PS-43045.pdf","-- ミックスされた値 --","19","Molex","0430450400","Digikey","WM1814-ND","1.42","1.207","","","","","",""
"J1","12V Female","https://www.lcsc.com/datasheet/lcsc_datasheet_2401181031_Changzhou-Amass-Elec-XT60PW-M_C98732.pdf","hb_footprint_lib:AMASS_XT60PW-M","1","Changzhou Amass Elec","XT60PW-M","LCSC","C98732","0.59","0.59","","","","","",""
"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10","SBRT20U60SP5-7","https://www.diodes.com/assets/Datasheets/SBRT20U60SP5.pdf","hb_footprint_lib:POWERDI5_DIO","10","Diodes Incorporated","SBRT20U60SP5-7","Digikey","SBRT20U60SP5-7DICT-ND","0.78","0.78","","","","","",""
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10","0.1u","https://datasheets.kyocera-avx.com/KGM_X7R.pdf","Capacitor_SMD:C_0805_2012Metric","10","KYOCERA AVX","KGM21NR71H104KT","Digikey","478-KGM21NR71H104KTCT-ND","0.08","0.026","","","","","",""
